#===============
# ll~ : eve
# qq~ : cd~
# FF  : scalar-tensor
# XY  : LL LR RL RR
# coef : 0 0
# type : Reg*Reg
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
#
0.07854  200.0  300.0  2e-05	0.00014	4e-05	0.00012	0.0	0.00018	0.00016	0.00022	0.00032	0.00046	0.00064	0.00128	0.00156	0.00268	0.00496	0.01024	0.03856	0.09472	0.10862	0.11184	0.10888	0.09798	0.07522	0.0186	0.00564	0.00214	0.00062	0.00054	0.0003	8e-05	0.0001	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.11253  300.0  400.0  4e-05	0.0	6e-05	6e-05	6e-05	4e-05	6e-05	4e-05	2e-05	4e-05	0.0001	0.0002	0.00024	0.00036	0.0005	0.00058	0.00062	0.00102	0.00148	0.00228	0.00456	0.0105	0.04692	0.1388	0.15284	0.14922	0.12564	0.04192	0.00768	0.0024	0.00114	0.00038	0.00014	6e-05	2e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.01834  400.0  500.0  0.0	0.0	0.0	2e-05	0.0	0.0	2e-05	4e-05	2e-05	0.0	4e-05	2e-05	8e-05	8e-05	0.00018	0.0002	0.0002	0.00022	0.00034	0.00034	0.0004	0.00062	0.00106	0.00166	0.00304	0.00764	0.0283	0.158	0.19694	0.1775	0.09318	0.0123	0.00324	0.00124	0.0003	0.00016	6e-05	8e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.00633  500.0  600.0  2e-05	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	2e-05	0.0	0.0	0.0	0.0	4e-05	2e-05	2e-05	0.00016	2e-05	0.00016	0.00012	8e-05	0.00018	0.00032	0.00034	0.00048	0.00078	0.00116	0.00244	0.0052	0.0161	0.13008	0.23876	0.20848	0.06902	0.0068	0.00164	0.00052	0.00014	0.00012	4e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.00879  600.0  700.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	2e-05	2e-05	2e-05	6e-05	2e-05	0.0	4e-05	0.00012	8e-05	6e-05	6e-05	0.00012	0.00016	0.0001	0.00024	0.00048	0.00042	0.00066	0.00122	0.00252	0.00616	0.02608	0.22066	0.26876	0.14096	0.01134	0.00258	0.00058	0.00024	6e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.02783  700.0  800.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	4e-05	2e-05	6e-05	2e-05	6e-05	6e-05	0.0001	4e-05	0.00012	6e-05	0.00026	0.00036	0.00038	0.00056	0.00082	0.00144	0.00412	0.01438	0.16714	0.32184	0.16338	0.0118	0.00196	0.00048	0.00026	4e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.01189  800.0  900.0  0.0	0.0	2e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	2e-05	4e-05	0.0	0.0	4e-05	2e-05	8e-05	0.0	8e-05	4e-05	4e-05	0.00014	0.00018	0.00018	0.00018	0.00024	0.00032	0.0007	0.00124	0.00336	0.01356	0.1888	0.35306	0.1195	0.0065	0.00092	0.0003	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.00926  900.0  1000.0  0.0	0.0	0.0	0.0	2e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	2e-05	4e-05	4e-05	0.0	2e-05	8e-05	8e-05	4e-05	8e-05	2e-05	0.00012	0.0001	0.00024	0.00014	0.0002	0.00052	0.00056	0.00138	0.00398	0.02172	0.30432	0.33402	0.02818	0.00246	0.00054	8e-05	6e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.00091  1000.0  1200.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	2e-05	4e-05	2e-05	2e-05	2e-05	8e-05	0.00014	0.00014	4e-05	8e-05	0.00016	0.0002	0.0002	0.00036	0.00066	0.0013	0.00434	0.0579	0.27978	0.23404	0.1155	0.0044	0.00066	0.0001	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.00222  1200.0  1400.0  0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	6e-05	0.0	8e-05	4e-05	8e-05	2e-05	6e-05	0.00016	2e-05	2e-05	0.00012	6e-05	4e-05	0.00012	0.0002	0.00026	0.00024	0.0006	0.00158	0.00644	0.15288	0.31826	0.21002	0.01344	0.0007	0.0001	2e-05	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
